year,source,tac
2005,S. Advice,2200
2006,S. Advice,2270
2007,S. Advice,1500
2008,S. Advice,1250
2009,S. Advice,1350
2010,S. Advice,1250
2011,S. Advice,1302
2012,S. Advice,1000
2013,S. Advice,1093
2014,S. Advice,1223
2015,S. Advice,1050
2005,Management,3000
2006,Management,2700
2007,Management,2700
2008,Management,3000
2009,Management,3000
2010,Management,3400
2011,Management,3090
2012,Management,3090
2013,Management,3090
2014,Management,1098
2015,Management,1083
2014,Management,988
2015,Management,988
2006,Industry,4350
2008,Industry,3750
2010,Industry,3000
2011,Industry,3125
2012,Industry,3050
